brightness_k,frp_mw,firms_confidence_pct,daynight,observation_count_7d,persistence_hours_7d,frp_trend_pct,industrial_proximity_km,refinery_proximity_km,mine_proximity_km,forest_proximity_km,cropland_proximity_km,population_5km,land_cover,label
308.63,271.7,87,1,4,74.75,30.79,2.05,7.51,11.51,23.11,33.23,773,Industrial,Industrial Fire
360.99,88.94,80,1,9,87.42,16.98,1.16,3.05,23.3,74.1,49.36,1821,Industrial,Industrial Fire
367.0,42.68,96,1,11,70.34,0.73,1.24,6.6,32.45,33.75,44.62,2910,Built-up,Industrial Fire
367.0,36.19,86,1,7,39.98,16.38,2.34,2.73,39.38,54.21,34.22,3612,Built-up,Industrial Fire
367.0,36.73,89,1,5,23.38,38.4,1.73,0.77,19.06,55.16,31.33,7612,Industrial,Industrial Fire
367.0,115.31,88,1,7,48.06,5.52,2.09,7.45,25.18,27.25,50.65,1075,Bare Land,Industrial Fire
350.15,91.49,95,1,7,42.31,2.06,1.4,3.91,9.53,60.12,14.39,419,Built-up,Industrial Fire
367.0,282.93,93,1,8,84.47,61.22,1.14,1.53,20.62,36.18,36.72,2379,Bare Land,Industrial Fire
340.79,67.4,89,1,5,65.03,37.48,0.63,7.51,31.45,21.01,8.81,4295,Built-up,Industrial Fire
363.74,28.6,89,1,4,42.11,30.55,0.98,5.48,5.26,61.12,52.06,11938,Industrial,Industrial Fire
367.0,124.27,84,1,4,47.52,34.72,0.99,2.33,23.79,29.05,48.5,12092,Built-up,Industrial Fire
367.0,7.25,87,0,3,35.4,30.88,1.27,5.34,8.59,37.35,28.25,2163,Industrial,Industrial Fire
350.29,6.14,100,1,5,84.7,36.75,1.55,7.06,32.43,16.87,30.97,8057,Bare Land,Industrial Fire
357.89,345.56,82,1,8,81.72,22.38,1.24,4.95,7.07,30.56,21.01,868,Industrial,Industrial Fire
358.84,119.97,97,1,6,31.37,-3.76,1.66,4.72,5.86,23.82,49.24,1076,Industrial,Industrial Fire
352.2,568.92,89,1,7,86.71,22.57,0.99,2.66,32.14,50.14,42.0,638,Built-up,Industrial Fire
367.0,45.28,91,1,7,79.03,34.64,0.66,6.03,37.44,71.52,42.63,3590,Built-up,Industrial Fire
358.12,16.05,83,1,5,68.01,25.38,2.11,6.29,37.33,65.09,49.19,1388,Bare Land,Industrial Fire
354.55,142.35,85,1,4,86.9,32.13,0.9,2.25,31.5,31.73,20.15,1203,Industrial,Industrial Fire
344.66,49.19,80,1,3,64.09,32.2,0.65,2.5,39.37,46.61,34.38,11172,Bare Land,Industrial Fire
317.59,17.62,97,1,5,75.71,37.16,0.75,1.87,25.47,77.48,12.54,16907,Bare Land,Industrial Fire
359.73,60.63,100,1,4,31.91,17.22,1.2,0.83,28.38,71.45,58.71,2514,Built-up,Industrial Fire
350.65,15.38,91,1,8,66.17,21.82,1.07,5.88,34.73,70.01,41.88,3262,Built-up,Industrial Fire
366.28,16.9,90,1,4,86.08,30.42,0.92,3.72,34.9,23.09,21.66,6019,Industrial,Industrial Fire
345.7,39.85,81,1,6,88.69,48.78,2.3,7.77,14.92,55.42,44.82,1114,Bare Land,Industrial Fire
359.57,15.99,89,1,9,55.1,41.03,0.42,2.04,5.04,29.43,29.99,11312,Bare Land,Industrial Fire
367.0,66.14,91,1,4,33.5,1.71,2.43,1.67,9.79,78.55,18.06,1315,Built-up,Industrial Fire
367.0,147.11,88,1,11,66.49,17.93,1.12,2.92,33.49,40.74,50.72,1031,Bare Land,Industrial Fire
367.0,60.21,82,1,7,15.92,22.42,1.38,1.02,36.95,36.06,9.95,520,Industrial,Industrial Fire
341.62,8.53,90,1,11,72.03,35.8,0.49,4.16,14.23,71.16,9.94,1818,Built-up,Industrial Fire
365.82,52.54,96,1,3,59.68,38.86,0.28,1.61,16.81,66.32,34.04,2607,Industrial,Industrial Fire
349.03,19.02,91,1,11,74.66,33.38,1.8,3.28,22.5,73.21,8.35,1714,Bare Land,Industrial Fire
346.14,24.19,84,1,5,49.85,16.99,1.08,1.21,22.07,39.49,15.73,1974,Bare Land,Industrial Fire
352.29,24.8,81,1,11,42.8,21.37,2.02,4.06,8.46,50.78,41.55,5457,Built-up,Industrial Fire
367.0,55.62,82,1,10,32.37,16.28,0.93,3.14,36.62,79.13,25.92,1511,Built-up,Industrial Fire
367.0,60.49,83,1,10,67.5,48.31,0.84,2.17,16.81,29.41,51.88,10014,Bare Land,Industrial Fire
345.91,109.68,94,1,5,11.59,46.8,0.36,2.68,9.46,56.75,44.35,449,Built-up,Industrial Fire
318.23,2.26,100,1,6,67.0,17.54,2.12,5.41,7.52,28.22,30.9,7815,Bare Land,Industrial Fire
363.09,12.74,94,1,4,27.15,-24.68,1.16,1.95,14.64,47.8,11.55,2083,Bare Land,Industrial Fire
347.72,52.32,84,1,5,45.17,24.64,1.92,4.04,35.49,48.3,49.64,8953,Industrial,Industrial Fire
324.21,37.6,93,1,9,83.12,2.2,1.45,5.08,13.13,44.95,32.22,3690,Bare Land,Industrial Fire
356.08,14.09,91,1,8,43.24,29.35,1.72,6.74,31.94,76.6,45.07,2105,Built-up,Industrial Fire
364.66,233.68,87,1,3,69.05,23.37,0.98,5.39,21.64,21.52,18.88,1343,Bare Land,Industrial Fire
355.41,21.95,82,1,3,78.86,20.99,2.49,2.01,24.22,28.11,51.72,3715,Industrial,Industrial Fire
319.22,13.89,93,1,7,21.12,25.71,1.7,7.29,26.25,79.06,11.93,2797,Industrial,Industrial Fire
367.0,71.51,80,1,5,12.59,49.2,0.95,7.88,5.88,64.0,34.34,12472,Bare Land,Industrial Fire
367.0,41.57,80,1,10,84.56,12.65,0.65,5.4,22.25,51.9,43.49,2413,Bare Land,Industrial Fire
361.13,13.14,98,1,4,29.0,27.4,0.83,2.52,12.22,48.25,46.84,6083,Industrial,Industrial Fire
367.0,14.0,86,1,8,85.65,28.66,1.15,7.84,10.06,72.45,56.03,437,Industrial,Industrial Fire
367.0,18.89,91,1,6,16.7,25.85,1.53,2.52,26.18,57.58,21.49,1248,Built-up,Industrial Fire
367.0,18.51,90,1,6,27.14,12.97,0.25,4.74,31.16,21.36,30.52,3406,Bare Land,Industrial Fire
351.64,29.73,100,1,3,62.07,21.79,2.25,4.72,5.89,36.35,13.08,3126,Industrial,Industrial Fire
367.0,68.76,91,1,10,54.68,9.35,1.89,5.07,26.57,56.51,39.68,882,Built-up,Industrial Fire
331.11,120.31,87,1,6,54.22,29.97,0.58,3.04,33.02,33.63,34.77,779,Bare Land,Industrial Fire
361.87,48.13,87,1,7,35.0,29.26,1.5,7.1,17.12,37.95,57.12,1814,Industrial,Industrial Fire
360.14,96.0,79,1,4,63.28,14.92,0.35,5.65,11.61,17.31,13.6,1904,Bare Land,Industrial Fire
