column,dtype,missing,missing_pct,unique,min,max,mean,median,std
brightness_k,float64,0,0.0,5943,290.0,367.0,344.3769263888889,344.87,15.62195816060561
frp_mw,float64,0,0.0,12333,0.29,1500.0,53.3896763888889,27.775,85.29969275174432
firms_confidence_pct,int64,0,0.0,38,60.0,100.0,89.23208333333334,89.0,6.622423608561728
daynight,int64,0,0.0,2,0.0,1.0,0.8432222222222222,1.0,0.36359617497385255
observation_count_7d,int64,0,0.0,40,1.0,40.0,13.120111111111111,11.0,8.8662770127779
persistence_hours_7d,float64,0,0.0,14397,0.5,167.99,74.24473944444445,71.58,49.654678069702605
frp_trend_pct,float64,0,0.0,7251,-50.39,88.85,13.406898333333332,10.77,16.057410740931708
industrial_proximity_km,float64,0,0.0,5690,0.1,69.98,13.471793055555557,3.81,16.344159157442107
refinery_proximity_km,float64,0,0.0,10276,0.1,150.0,34.46825638888889,9.795,38.51901956462619
mine_proximity_km,float64,0,0.0,9662,0.1,119.98,36.714505833333334,30.85,29.256299370231222
forest_proximity_km,float64,0,0.0,10848,0.01,149.97,47.5961775,45.51,34.40359178043485
cropland_proximity_km,float64,0,0.0,10149,0.05,149.98,39.28163083333333,34.49,32.610126495931695
population_5km,int64,0,0.0,6605,1.0,99663.0,1491.2353611111112,180.0,3671.208349862237
land_cover,object,0,0.0,8,,,,,
label,object,0,0.0,6,,,,,
